,SSC-H,SSC-A,FSC-H,FSC-A
16924,7156.0,6789.8857421875,4185.0,2951.27001953125
16925,44791.0,47616.67578125,5518.0,-5568.23486328125
16926,206988.0,203366.34375,3707.0,1727.1949462890625
16927,208590.0,210131.625,6913.0,19662.625
16928,227811.0,222576.390625,6365.0,480.79498291015625
16929,49814.0,48697.44140625,4778.0,1631.719970703125
16930,1015742.0,993645.1875,4713.0,7278.14013671875
16931,653197.0,640947.625,6013.0,12558.14453125
16932,6497.0,6595.748046875,3005.0,448.4949951171875
16933,893340.0,917701.125,8263.0,16327.26953125
16934,207607.0,211829.046875,3922.0,-3637.169921875
16935,208922.0,211977.515625,4040.0,2597.10986328125
16936,7726.0,7992.7666015625,3799.0,4811.65478515625
16937,3194.0,3428.547607421875,2397.0,2429.81494140625
16939,135509.0,131621.78125,6466.0,2485.77001953125
16940,48653.0,47109.02734375,3232.0,3182.68994140625
16941,2884.0,2338.552001953125,3555.0,-210.13999938964844
16942,207707.0,205410.453125,6669.0,-2154.409912109375
16944,8507.0,8144.10498046875,815.0,-5636.919921875
16945,7317.0,6684.29052734375,-930.0,-7755.134765625
16946,3370.0,2914.145263671875,2885.0,-2800.31494140625
16947,203772.0,205989.328125,5544.0,8602.439453125
16948,900304.0,880326.9375,11673.0,14487.78515625
16949,2745.0,2499.185791015625,856.0,-2690.02001953125
16950,15581.0,15278.4638671875,542.0,-13606.66015625
16952,227063.0,227893.890625,3051.0,-20086.705078125
16953,6865.0,6677.8701171875,-1209.0,-8580.7802734375
16954,144126.0,146713.390625,1379.0,-21440.455078125
16955,257794.0,262513.46875,3591.0,-17022.57421875
16956,255634.0,256391.40625,3930.0,-10359.3701171875
16957,8816.0,8081.44287109375,833.0,-3391.21484375
16958,198094.0,196665.9375,1052.0,-16837.515625
16959,910382.0,917746.0,8274.0,-11823.794921875
16960,267994.0,263253.59375,379.0,-20779.5390625
16961,284379.0,285258.0625,3001.0,-15591.115234375
16962,47774.0,47882.8359375,-453.0,-19863.9296875
16963,3399314.0,3450946.0,55937.0,52348.23046875
16964,15086.0,15054.4326171875,-491.0,-13560.8701171875
16965,3220685.0,3196457.25,56441.0,26583.46875
16966,2201.0,1807.49755859375,1866.0,-3095.574951171875
16968,6242.0,5950.53759765625,2498.0,-922.5449829101562
16969,22556.0,22203.37109375,4347.0,7080.06494140625
16970,7526.0,7628.8330078125,6990.0,5300.0498046875
16971,144524.0,142148.84375,3041.0,455.04998779296875
16972,25156.0,24586.4609375,4553.0,5568.9951171875
16974,43696.0,43346.03515625,2197.0,1204.6949462890625
16975,200499.0,203651.640625,5196.0,9554.91015625
16976,239362.0,242804.875,3430.0,-1187.68994140625
16977,8029.0,8085.58935546875,639.0,-4854.5947265625
16978,7321.0,7472.6796875,4975.0,-3483.83984375
16979,3500091.0,3423201.0,60097.0,61310.24609375
16980,65612.0,66370.3671875,6686.0,-6769.4150390625
16981,6905.0,6435.4482421875,2100.0,-3640.58984375
16982,226369.0,227200.9375,7314.0,9465.5146484375
16983,141144.0,138728.375,4649.0,-5341.08984375
16984,1552.0,1185.69384765625,1011.0,-616.9299926757812
16985,14227.0,14487.466796875,7584.0,7061.2548828125
16986,249918.0,252134.671875,3098.0,-3326.7099609375
16988,208635.0,209312.34375,2244.0,-4184.46484375
16989,3039.0,2854.09130859375,663.0,-5601.77001953125
16990,3237.0,2374.79833984375,4032.0,-5159.06982421875
16991,50861.0,48588.03515625,5581.0,4611.5849609375
16992,229998.0,222725.453125,5570.0,4002.159912109375
16993,2920.0,2491.62890625,-1221.0,-6390.4599609375
16994,2569.0,2004.110107421875,1165.0,365.55999755859375
16995,233491.0,229225.84375,-407.0,-20889.359375
16996,292595.0,287446.5625,6859.0,-1746.669921875
16997,918071.0,891720.625,5214.0,1119.0050048828125
16998,4261.0,3808.464599609375,1659.0,-3327.7548828125
17001,11310.0,10218.767578125,1912.0,-728.6499633789062
17002,249134.0,248556.390625,5299.0,6897.94970703125
17003,3204.0,3427.410888671875,7145.0,16445.259765625
17004,50863.0,50004.98046875,5404.0,1139.0499267578125
17006,7912.0,7444.05712890625,7793.0,13951.984375
17007,119079.0,118978.921875,8078.0,23914.82421875
17008,55044.0,53855.578125,9017.0,19640.298828125
17009,37679.0,37044.13671875,9421.0,29520.490234375
17010,191300.0,329424.125,8348.0,45373.61328125
17011,231134.0,225122.125,12742.0,35131.37890625
17013,259467.0,253669.390625,9514.0,23979.51953125
17014,112993.0,111160.8359375,7289.0,18963.900390625
17016,8473.0,8740.9638671875,4196.0,5915.64990234375
17018,46298.0,45949.61328125,3936.0,1468.510009765625
17021,45834.0,44041.73828125,3025.0,-2986.89501953125
17022,191967.0,193966.875,2234.0,-4567.97998046875
17023,29531.0,28683.55859375,1720.0,-3513.195068359375
17024,2696.0,2262.11376953125,5176.0,6291.18505859375
17025,4653.0,6409.099609375,2705.0,-660.0599975585938
17026,873371.0,883287.5,3631.0,10194.259765625
17027,192600.0,206206.46875,5440.0,4028.85498046875
17028,8679.0,8153.66796875,918.0,-4151.68994140625
17029,300368.0,295372.65625,3607.0,4232.9150390625
17030,147246.0,146214.03125,4633.0,-2641.474853515625
17032,119906.0,119446.046875,5617.0,5199.44482421875
17033,4270.0,3617.870849609375,6475.0,2916.119873046875
17034,204530.0,200926.34375,5030.0,-6181.27001953125
17035,4008.0,3234.208984375,645.0,-2290.070068359375
17036,6854.0,6121.47021484375,1332.0,-2158.2099609375
17038,232110.0,232943.15625,7533.0,12276.564453125
17039,185331.0,181533.328125,3267.0,2096.64990234375
17040,3542215.0,3468183.0,61538.0,53546.2734375
17042,7904.0,7037.9921875,3160.0,-155.51499938964844
17043,199854.0,199256.75,5891.0,10297.6201171875
17044,57414.0,55535.07421875,6858.0,1823.239990234375
17045,6074.0,5558.18212890625,3214.0,1727.669921875
17046,2928.0,1913.2938232421875,4499.0,3689.419921875
17047,6007.0,5258.04736328125,5667.0,6484.03515625
17048,966290.0,1194257.375,8716.0,26870.46484375
17049,117116.0,115813.53125,5914.0,8282.5751953125
17051,812354.0,822739.5,2132.0,-6316.455078125
17052,3247.0,2869.940673828125,2403.0,11.019999504089355
17054,4505.0,4059.112060546875,4181.0,-1049.93994140625
17055,224782.0,227075.40625,1866.0,-10365.3544921875
17056,24257.0,23525.490234375,3743.0,4501.85986328125
17057,209788.0,207538.484375,2107.0,-10801.689453125
17058,956052.0,947230.3125,4538.0,10406.39453125
17059,40402.0,41159.359375,2699.0,1138.7650146484375
17060,3326861.0,3280276.0,52341.0,41880.46484375
17061,1632.0,1262.3994140625,237.0,-1621.8399658203125
17062,3238.0,2633.203369140625,1178.0,-952.0899658203125
17063,148113.0,145730.390625,4032.0,-1444.949951171875
17064,231579.0,278629.15625,6335.0,6642.3046875
17065,39089.0,37151.0703125,4841.0,2648.409912109375
17066,531238.0,524783.8125,5778.0,-125.77999877929688
17067,198412.0,196588.90625,7259.0,4224.55517578125
17068,4513.0,4062.322021484375,3930.0,-602.489990234375
17070,3668.0,3201.172607421875,4582.0,4221.7998046875
17071,50297.0,51790.07421875,3355.0,470.05999755859375
17072,41722.0,41637.4453125,5235.0,9298.884765625
17073,1920.0,1393.2738037109375,3881.0,3973.945068359375
17074,809751.0,796818.375,5366.0,3610.3798828125
17075,3300973.0,3255813.25,62500.0,60559.74609375
17076,3138977.0,3163610.5,52525.0,58127.26953125
17077,218506.0,213819.1875,2388.0,-3959.030029296875
17078,6253.0,6150.42724609375,4605.0,7155.77978515625
17079,3217.0,2768.69189453125,7177.0,4944.0849609375
17081,4723.0,4662.79296875,2478.0,-6375.830078125
17082,5382.0,4459.89404296875,2133.0,-352.6399841308594
17083,184782.0,181873.734375,7301.0,15143.28515625
17085,49883.0,50465.21484375,1607.0,-2278.195068359375
17086,3385389.0,3390367.5,49798.0,49116.99609375
17087,948249.0,951275.75,44537.0,40160.6796875
17088,38763.0,37815.00390625,4025.0,-6699.2099609375
17091,23894.0,23277.78515625,5461.0,3353.5
17092,6183.0,6132.30419921875,2291.0,18.049999237060547
17093,37851.0,37023.80859375,6229.0,6131.01513671875
17096,2374.0,1623.9256591796875,3351.0,-822.0349731445312
17097,75582.0,75433.0,4512.0,889.6749877929688
17098,1013658.0,987302.5625,8030.0,10400.7900390625
17099,173288.0,174771.875,5619.0,-2961.43505859375
17100,186071.0,183425.6875,4360.0,3600.119873046875
17102,8729.0,7926.22607421875,7570.0,16523.16015625
17103,281030.0,275392.34375,5188.0,9372.509765625
